"journal","issn","quartile","impact_factor","category","jcr_year"
"CHEMICAL SOCIETY REVIEWS","1460-4744","Q1","48.3","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Journal of Hematology & Oncology","N/A","Q1","47.8","Multiple","2025"
"Journal of Hematology & Oncology","1756-8722","Q1","47.8","Multiple","2025"
"SCIENCE","0036-8075","Q1","47.3","MULTIDISCIPLINARY SCIENCES","2025"
"SCIENCE","1095-9203","Q1","47.3","MULTIDISCIPLINARY SCIENCES","2025"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","Q1","47.1","IMMUNOLOGY","2025"
"NATURE REVIEWS IMMUNOLOGY","1474-1741","Q1","47.1","IMMUNOLOGY","2025"
"Nature Reviews Nephrology","1759-5061","Q1","46.7","UROLOGY & NEPHROLOGY","2025"
"Nature Reviews Nephrology","1759-507X","Q1","46.7","UROLOGY & NEPHROLOGY","2025"
"Nature Reviews Physics","N/A","Q1","46.6","Multiple","2025"
"Nature Reviews Physics","2522-5820","Q1","46.6","Multiple","2025"
"EUROPEAN HEART JOURNAL","0195-668X","Q1","45.3","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"EUROPEAN HEART JOURNAL","1522-9645","Q1","45.3","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"CELL","0092-8674","Q1","45.1","Multiple","2025"
"CELL","1097-4172","Q1","45.1","Multiple","2025"
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","Q1","44.7","ONCOLOGY","2025"
"JOURNAL OF CLINICAL ONCOLOGY","1527-7755","Q1","44.7","ONCOLOGY","2025"
"NATURE BIOTECHNOLOGY","1087-0156","Q1","44.5","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","2025"
"NATURE BIOTECHNOLOGY","1546-1696","Q1","44.5","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","2025"
"iMeta","2770-5986","Q1","44.4","MICROBIOLOGY","2025"
"iMeta","2770-596X","Q1","44.4","MICROBIOLOGY","2025"
"PROGRESS IN MATERIALS SCIENCE","0079-6425","Q1","42.9","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"PROGRESS IN MATERIALS SCIENCE","1873-2208","Q1","42.9","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"Nature Reviews Bioengineering","N/A","Q1","42.7","Multiple","2025"
"Nature Reviews Bioengineering","2731-6092","Q1","42.7","Multiple","2025"
"Nature Electronics","2520-1131","Q1","42.3","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Molecular Cancer","N/A","Q1","42.2","Multiple","2025"
"Molecular Cancer","1476-4598","Q1","42.2","Multiple","2025"
"Annual Review of Psychology","0066-4308","Q1","41.8","Multiple","2025"
"Annual Review of Psychology","1545-2085","Q1","41.8","Multiple","2025"
"CIRCULATION","0009-7322","Q1","41.3","Multiple","2025"
"CIRCULATION","1524-4539","Q1","41.3","Multiple","2025"
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","0360-1285","Q1","41.3","Multiple","2025"
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","1873-216X","Q1","41.3","Multiple","2025"
"JOURNAL OF HEPATOLOGY","0168-8278","Q1","40.1","GASTROENTEROLOGY & HEPATOLOGY","2025"
"JOURNAL OF HEPATOLOGY","1600-0641","Q1","40.1","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Annual Review of Immunology","0732-0582","Q1","39.8","IMMUNOLOGY","2025"
"Annual Review of Immunology","1545-3278","Q1","39.8","IMMUNOLOGY","2025"
"Innovation","2666-6758","Q1","39.5","MULTIDISCIPLINARY SCIENCES","2025"
"Lancet Gastroenterology & Hepatology","N/A","Q1","39.1","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Lancet Gastroenterology & Hepatology","2468-1253","Q1","39.1","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Nature Reviews Endocrinology","1759-5029","Q1","39.1","ENDOCRINOLOGY & METABOLISM","2025"
"Nature Reviews Endocrinology","1759-5037","Q1","39.1","ENDOCRINOLOGY & METABOLISM","2025"
"International Journal of Educational Technology in Higher Education","2365-9440","Q1","38.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Nano-Micro Letters","2311-6706","Q1","38.5","Multiple","2025"
"Nano-Micro Letters","2150-5551","Q1","38.5","Multiple","2025"
"REVIEWS OF GEOPHYSICS","8755-1209","Q1","38.5","GEOCHEMISTRY & GEOPHYSICS","2025"
"REVIEWS OF GEOPHYSICS","1944-9208","Q1","38.5","GEOCHEMISTRY & GEOPHYSICS","2025"
"Nature Photonics","1749-4885","Q1","38.1","Multiple","2025"
"Nature Photonics","1749-4893","Q1","38.1","Multiple","2025"
"NATURE MATERIALS","1476-1122","Q1","38.0","Multiple","2025"
"NATURE MATERIALS","1476-4660","Q1","38.0","Multiple","2025"
"Nature Nanotechnology","1748-3387","Q1","37.5","Multiple","2025"
"Nature Nanotechnology","1748-3395","Q1","37.5","Multiple","2025"
"Annual Review of Astronomy and Astrophysics","0066-4146","Q1","37.3","ASTRONOMY & ASTROPHYSICS","2025"
"Annual Review of Astronomy and Astrophysics","1545-4282","Q1","37.3","ASTRONOMY & ASTROPHYSICS","2025"
"Joule","2542-4351","Q1","37.1","Multiple","2025"
"Cell Metabolism","1550-4131","Q1","37.0","Multiple","2025"
"Cell Metabolism","1932-7420","Q1","37.0","Multiple","2025"
"Foundations and Trends in Machine Learning","1935-8237","Q1","36.6","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"Foundations and Trends in Machine Learning","1935-8245","Q1","36.6","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"Lancet Diabetes & Endocrinology","2213-8587","Q1","36.3","ENDOCRINOLOGY & METABOLISM","2025"
"Lancet Diabetes & Endocrinology","2213-8595","Q1","36.3","ENDOCRINOLOGY & METABOLISM","2025"
"Physiological Reviews","0031-9333","Q1","35.7","PHYSIOLOGY","2025"
"Physiological Reviews","1522-1210","Q1","35.7","PHYSIOLOGY","2025"
"Nature Reviews Electrical Engineering","N/A","Q1","34.8","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Nature Reviews Electrical Engineering","2948-1201","Q1","34.8","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Lancet Respiratory Medicine","2213-2600","Q1","34.7","Multiple","2025"
"Lancet Respiratory Medicine","N/A","Q1","34.7","Multiple","2025"
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","Q1","34.5","PATHOLOGY","2025"
"Annual Review of Pathology-Mechanisms of Disease","1553-4014","Q1","34.5","PATHOLOGY","2025"
"LANCET ONCOLOGY","1470-2045","Q1","33.7","ONCOLOGY","2025"
"LANCET ONCOLOGY","1474-5488","Q1","33.7","ONCOLOGY","2025"
"Nature Reviews Rheumatology","1759-4790","Q1","33.7","RHEUMATOLOGY","2025"
"Nature Reviews Rheumatology","1759-4804","Q1","33.7","RHEUMATOLOGY","2025"
"PROGRESS IN POLYMER SCIENCE","0079-6700","Q1","32.8","POLYMER SCIENCE","2025"
"PROGRESS IN POLYMER SCIENCE","1873-1619","Q1","32.8","POLYMER SCIENCE","2025"
"Molecular Plant","1674-2052","Q1","32.7","Multiple","2025"
"Molecular Plant","1752-9867","Q1","32.7","Multiple","2025"
"Nature Sustainability","2398-9629","Q1","32.1","Multiple","2025"
"eLight","2097-1710","Q1","31.4","OPTICS","2025"
"eLight","2662-8643","Q1","31.4","OPTICS","2025"
"Nature Reviews Neurology","1759-4758","Q1","31.2","CLINICAL NEUROLOGY","2025"
"Nature Reviews Neurology","1759-4766","Q1","31.2","CLINICAL NEUROLOGY","2025"
"CELL RESEARCH","1001-0602","Q1","31.1","CELL BIOLOGY","2025"
"CELL RESEARCH","1748-7838","Q1","31.1","CELL BIOLOGY","2025"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012","Q1","31.0","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","1873-4707","Q1","31.0","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"PROCEEDINGS OF THE IEEE","0018-9219","Q1","30.9","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"PROCEEDINGS OF THE IEEE","1558-2256","Q1","30.9","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Nature Water","N/A","Q1","30.7","Multiple","2025"
"Nature Water","2731-6084","Q1","30.7","Multiple","2025"
"Immunity","1074-7613","Q1","30.6","IMMUNOLOGY","2025"
"Immunity","1097-4180","Q1","30.6","IMMUNOLOGY","2025"
"Energy & Environmental Science","1754-5692","Q1","30.5","Multiple","2025"
"Energy & Environmental Science","1754-5706","Q1","30.5","Multiple","2025"
"ACM COMPUTING SURVEYS","0360-0300","Q1","30.4","COMPUTER SCIENCE, THEORY & METHODS","2025"
"ACM COMPUTING SURVEYS","1557-7341","Q1","30.4","COMPUTER SCIENCE, THEORY & METHODS","2025"
"Exploration","2766-8509","Q1","30.4","Multiple","2025"
"Exploration","2766-2098","Q1","30.4","Multiple","2025"
"Advances in Optics and Photonics","1943-8206","Q1","30.1","OPTICS","2025"
"Advances in Optics and Photonics","N/A","Q1","30.1","OPTICS","2025"
"Nature Machine Intelligence","N/A","Q1","29.8","Multiple","2025"
"Nature Machine Intelligence","2522-5839","Q1","29.8","Multiple","2025"
"Gastroenterology","0016-5085","Q1","29.7","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Gastroenterology","1528-0012","Q1","29.7","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Nature Chemical Engineering","N/A","Q1","29.7","ENGINEERING, CHEMICAL","2025"
"Nature Chemical Engineering","2948-1198","Q1","29.7","ENGINEERING, CHEMICAL","2025"
"Cancer Discovery","2159-8274","Q1","29.5","ONCOLOGY","2025"
"Cancer Discovery","2159-8290","Q1","29.5","ONCOLOGY","2025"
"Lancet Rheumatology","2665-9913","Q1","29.5","RHEUMATOLOGY","2025"
"LANCET INFECTIOUS DISEASES","1473-3099","Q1","29.4","INFECTIOUS DISEASES","2025"
"LANCET INFECTIOUS DISEASES","1474-4457","Q1","29.4","INFECTIOUS DISEASES","2025"
"Living Reviews in Solar Physics","2367-3648","Q1","29.4","ASTRONOMY & ASTROPHYSICS","2025"
"Living Reviews in Solar Physics","1614-4961","Q1","29.4","ASTRONOMY & ASTROPHYSICS","2025"
"EUROPEAN UROLOGY","0302-2838","Q1","29.1","UROLOGY & NEPHROLOGY","2025"
"EUROPEAN UROLOGY","1873-7560","Q1","29.1","UROLOGY & NEPHROLOGY","2025"
"ADVANCED MATERIALS","0935-9648","Q1","29.1","Multiple","2025"
"ADVANCED MATERIALS","1521-4095","Q1","29.1","Multiple","2025"
"Military Medical Research","2095-7467","Q1","29.0","MEDICINE, GENERAL & INTERNAL","2025"
"Military Medical Research","2054-9369","Q1","29.0","MEDICINE, GENERAL & INTERNAL","2025"
"NATURE REVIEWS NEUROSCIENCE","1471-003X","Q1","29.0","NEUROSCIENCES","2025"
"NATURE REVIEWS NEUROSCIENCE","1471-0048","Q1","29.0","NEUROSCIENCES","2025"
"Annual Review of Condensed Matter Physics","1947-5454","Q1","29.0","PHYSICS, CONDENSED MATTER","2025"
"Annual Review of Condensed Matter Physics","1947-5462","Q1","29.0","PHYSICS, CONDENSED MATTER","2025"
"Cancer Communications","N/A","Q1","28.4","ONCOLOGY","2025"
"Cancer Communications","2523-3548","Q1","28.4","ONCOLOGY","2025"
"NATURE METHODS","1548-7091","Q1","28.3","BIOCHEMICAL RESEARCH METHODS","2025"
"NATURE METHODS","1548-7105","Q1","28.3","BIOCHEMICAL RESEARCH METHODS","2025"
"Nature Cancer","N/A","Q1","28.0","ONCOLOGY","2025"
"Nature Cancer","2662-1347","Q1","28.0","ONCOLOGY","2025"
"Nature Metabolism","N/A","Q1","27.5","ENDOCRINOLOGY & METABOLISM","2025"
"Nature Metabolism","2522-5812","Q1","27.5","ENDOCRINOLOGY & METABOLISM","2025"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","0370-1573","Q1","27.5","PHYSICS, MULTIDISCIPLINARY","2025"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","1873-6270","Q1","27.5","PHYSICS, MULTIDISCIPLINARY","2025"
"FUNGAL DIVERSITY","1560-2745","Q1","27.0","MYCOLOGY","2025"
"FUNGAL DIVERSITY","1878-9129","Q1","27.0","MYCOLOGY","2025"
"Nature Climate Change","1758-678X","Q1","26.9","Multiple","2025"
"Nature Climate Change","1758-6798","Q1","26.9","Multiple","2025"
"Opto-Electronic Science","2097-0382","Q1","26.9","OPTICS","2025"
"Opto-Electronic Science","2097-4000","Q1","26.9","OPTICS","2025"
"Advanced Powder Materials","N/A","Q1","26.8","Multiple","2025"
"Advanced Powder Materials","2772-834X","Q1","26.8","Multiple","2025"
"Lancet Public Health","2468-2667","Q1","26.5","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"NATURE IMMUNOLOGY","1529-2908","Q1","26.5","IMMUNOLOGY","2025"
"NATURE IMMUNOLOGY","1529-2916","Q1","26.5","IMMUNOLOGY","2025"
"Annual Review of Plant Biology","1543-5008","Q1","26.4","PLANT SCIENCES","2025"
"Annual Review of Plant Biology","1545-2123","Q1","26.4","PLANT SCIENCES","2025"
"JAMA Internal Medicine","2168-6106","Q1","26.3","MEDICINE, GENERAL & INTERNAL","2025"
"JAMA Internal Medicine","2168-6114","Q1","26.3","MEDICINE, GENERAL & INTERNAL","2025"
"Nature Biomedical Engineering","2157-846X","Q1","26.3","ENGINEERING, BIOMEDICAL","2025"
"Annual Review of Fluid Mechanics","0066-4189","Q1","26.1","Multiple","2025"
"Annual Review of Fluid Mechanics","1545-4479","Q1","26.1","Multiple","2025"
"COORDINATION CHEMISTRY REVIEWS","0010-8545","Q1","25.6","CHEMISTRY, INORGANIC & NUCLEAR","2025"
"COORDINATION CHEMISTRY REVIEWS","1873-3840","Q1","25.6","CHEMISTRY, INORGANIC & NUCLEAR","2025"
"NATURE GENETICS","1061-4036","Q1","25.5","GENETICS & HEREDITY","2025"
"NATURE GENETICS","1546-1718","Q1","25.5","GENETICS & HEREDITY","2025"
"Science Robotics","2470-9476","Q1","25.5","ROBOTICS","2025"
"Lancet Digital Health","N/A","Q1","25.5","Multiple","2025"
"Lancet Digital Health","2589-7500","Q1","25.5","Multiple","2025"
"Advanced Energy Materials","1614-6832","Q1","25.5","Multiple","2025"
"Advanced Energy Materials","1614-6840","Q1","25.5","Multiple","2025"
"TRENDS IN CELL BIOLOGY","0962-8924","Q1","25.3","CELL BIOLOGY","2025"
"TRENDS IN CELL BIOLOGY","1879-3088","Q1","25.3","CELL BIOLOGY","2025"
"Journal of the National Cancer Center","2667-0054","Q1","25.2","ONCOLOGY","2025"
"Environmental Chemistry Letters","1610-3653","Q1","25.2","Multiple","2025"
"Environmental Chemistry Letters","1610-3661","Q1","25.2","Multiple","2025"
"International Journal of Extreme Manufacturing","2631-8644","Q1","25.1","Multiple","2025"
"International Journal of Extreme Manufacturing","2631-7990","Q1","25.1","Multiple","2025"
"Nature Aging","N/A","Q1","25.0","Multiple","2025"
"Nature Aging","2662-8465","Q1","25.0","Multiple","2025"
"Annual Review of Biochemistry","0066-4154","Q1","24.9","BIOCHEMISTRY & MOLECULAR BIOLOGY","2025"
"Annual Review of Biochemistry","1545-4509","Q1","24.9","BIOCHEMISTRY & MOLECULAR BIOLOGY","2025"
"Nature Food","N/A","Q1","24.7","FOOD SCIENCE & TECHNOLOGY","2025"
"Nature Food","2662-1355","Q1","24.7","FOOD SCIENCE & TECHNOLOGY","2025"
"GUT","0017-5749","Q1","24.6","GASTROENTEROLOGY & HEPATOLOGY","2025"
"GUT","1468-3288","Q1","24.6","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Nature Chemistry","1755-4330","Q1","24.5","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Nature Chemistry","1755-4349","Q1","24.5","CHEMISTRY, MULTIDISCIPLINARY","2025"
"PROGRESS IN AEROSPACE SCIENCES","0376-0421","Q1","24.2","ENGINEERING, AEROSPACE","2025"
"PROGRESS IN AEROSPACE SCIENCES","1873-1724","Q1","24.2","ENGINEERING, AEROSPACE","2025"
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","0890-6955","Q1","24.1","Multiple","2025"
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","1879-2170","Q1","24.1","Multiple","2025"
"Materials Today","1369-7021","Q1","24.1","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"Materials Today","1873-4103","Q1","24.1","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"ANNALS OF THE RHEUMATIC DISEASES","0003-4967","Q1","24.0","RHEUMATOLOGY","2025"
"ANNALS OF THE RHEUMATIC DISEASES","1468-2060","Q1","24.0","RHEUMATOLOGY","2025"
"Light-Science & Applications","2095-5545","Q1","24.0","OPTICS","2025"
"Light-Science & Applications","2047-7538","Q1","24.0","OPTICS","2025"
"TRENDS IN PHARMACOLOGICAL SCIENCES","0165-6147","Q1","24.0","PHARMACOLOGY & PHARMACY","2025"
"TRENDS IN PHARMACOLOGICAL SCIENCES","1873-3735","Q1","24.0","PHARMACOLOGY & PHARMACY","2025"
"JAMA Oncology","2374-2437","Q1","23.9","ONCOLOGY","2025"
"JAMA Oncology","2374-2445","Q1","23.9","ONCOLOGY","2025"
"BLOOD","0006-4971","Q1","23.9","HEMATOLOGY","2025"
"BLOOD","1528-0020","Q1","23.9","HEMATOLOGY","2025"
"Cellular & Molecular Immunology","1672-7681","Q1","23.9","IMMUNOLOGY","2025"
"Cellular & Molecular Immunology","2042-0226","Q1","23.9","IMMUNOLOGY","2025"
"ENDOCRINE REVIEWS","0163-769X","Q1","23.9","ENDOCRINOLOGY & METABOLISM","2025"
"ENDOCRINE REVIEWS","1945-7189","Q1","23.9","ENDOCRINOLOGY & METABOLISM","2025"
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","Q1","23.8","RESPIRATORY SYSTEM","2025"
"EUROPEAN RESPIRATORY JOURNAL","1399-3003","Q1","23.8","RESPIRATORY SYSTEM","2025"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","Q1","23.7","CHEMISTRY, PHYSICAL","2025"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","1873-3727","Q1","23.7","CHEMISTRY, PHYSICAL","2025"
"JAMA Neurology","2168-6149","Q1","23.6","CLINICAL NEUROLOGY","2025"
"JAMA Neurology","2168-6157","Q1","23.6","CLINICAL NEUROLOGY","2025"
"Bioactive Materials","N/A","Q1","23.6","Multiple","2025"
"Bioactive Materials","2452-199X","Q1","23.6","Multiple","2025"
"Computers and Education: Artificial Intelligence","2666-920X","Q1","23.4","Multiple","2025"
"Journal of Thoracic Oncology","1556-0864","Q1","23.3","Multiple","2025"
"Journal of Thoracic Oncology","1556-1380","Q1","23.3","Multiple","2025"
"Cell Stem Cell","1934-5909","Q1","23.3","Multiple","2025"
"Cell Stem Cell","1875-9777","Q1","23.3","Multiple","2025"
"Cell Host & Microbe","1931-3128","Q1","23.2","Multiple","2025"
"Cell Host & Microbe","1934-6069","Q1","23.2","Multiple","2025"
"Responsive Materials","2834-894X","Q1","22.9","Multiple","2025"
"Responsive Materials","2834-8966","Q1","22.9","Multiple","2025"
"NATURE CELL BIOLOGY","1465-7392","Q1","22.7","CELL BIOLOGY","2025"
"NATURE CELL BIOLOGY","1476-4679","Q1","22.7","CELL BIOLOGY","2025"
"Advanced Fiber Materials","2524-7921","Q1","22.6","Multiple","2025"
"Advanced Fiber Materials","2524-793X","Q1","22.6","Multiple","2025"
"DIABETES CARE","0149-5992","Q1","22.6","ENDOCRINOLOGY & METABOLISM","2025"
"DIABETES CARE","1935-5548","Q1","22.6","ENDOCRINOLOGY & METABOLISM","2025"
"Nature Synthesis","N/A","Q1","22.6","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Nature Synthesis","2731-0582","Q1","22.6","CHEMISTRY, MULTIDISCIPLINARY","2025"
"CANCER RESEARCH","0008-5472","Q1","22.6","ONCOLOGY","2025"
"CANCER RESEARCH","1538-7445","Q1","22.6","ONCOLOGY","2025"
"Nano Research Energy","2791-0091","Q1","22.6","Multiple","2025"
"Nano Research Energy","2790-8119","Q1","22.6","Multiple","2025"
"Lancet Global Health","2214-109X","Q1","22.5","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Annual Review of Marine Science","1941-1405","Q1","22.5","Multiple","2025"
"Annual Review of Marine Science","1941-0611","Q1","22.5","Multiple","2025"
"Interdisciplinary Materials","2767-4401","Q1","22.5","Multiple","2025"
"Interdisciplinary Materials","2767-441X","Q1","22.5","Multiple","2025"
"Opto-Electronic Advances","2096-4579","Q1","22.4","OPTICS","2025"
"Opto-Electronic Advances","2097-3993","Q1","22.4","OPTICS","2025"
"JACC-Journal of the American College of Cardiology","0735-1097","Q1","22.3","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
